file,gamma,all,iv,oov
reference,0,1.000,1.000,1.000
reference,1,1.000,1.000,1.000
reference,2,1.000,1.000,1.000
reference,3,1.000,1.000,1.000
reference,4,1.000,1.000,1.000
onebest-word,0,0.319,0.401,0.000
onebest-word,1,0.320,0.402,0.000
onebest-word,2,0.321,0.403,0.000
onebest-word,3,0.321,0.404,0.000
onebest-word,4,0.320,0.403,0.000
onebest-morph,0,0.325,0.391,0.068
onebest-morph,1,0.326,0.393,0.068
onebest-morph,2,0.321,0.386,0.068
onebest-morph,3,0.318,0.383,0.068
onebest-morph,4,0.318,0.383,0.068
onebest-word-to-morph,0,0.321,0.399,0.018
onebest-word-to-morph,1,0.319,0.396,0.018
onebest-word-to-morph,2,0.318,0.396,0.018
onebest-word-to-morph,3,0.316,0.393,0.018
onebest-word-to-morph,4,0.315,0.391,0.018
