System,QueryLength,MTWV,Threshold
lattice-morph.xml,1,0.372,0.071
lattice-morph.xml,2,0.384,0.071
lattice-morph.xml,3,0.197,0.071
lattice-morph.xml,4,0.000,0.071
lattice-morph.xml,5,0.000,0.071
STO-lattice-morph.xml,1,0.526,0.039
STO-lattice-morph.xml,2,0.575,0.039
STO-lattice-morph.xml,3,0.293,0.039
STO-lattice-morph.xml,4,-0.003,0.039
STO-lattice-morph.xml,5,0.000,0.039
STO-lattice-word_+_STO-lattice-morph_+_STO-lattice-word-sys2_WCombMNZ-STO.xml,1,0.549,0.030
STO-lattice-word_+_STO-lattice-morph_+_STO-lattice-word-sys2_WCombMNZ-STO.xml,2,0.610,0.030
STO-lattice-word_+_STO-lattice-morph_+_STO-lattice-word-sys2_WCombMNZ-STO.xml,3,0.389,0.030
STO-lattice-word_+_STO-lattice-morph_+_STO-lattice-word-sys2_WCombMNZ-STO.xml,4,0.097,0.030
STO-lattice-word_+_STO-lattice-morph_+_STO-lattice-word-sys2_WCombMNZ-STO.xml,5,0.000,0.030
